kód okresu,kód KÚ,názov obce
702,802140,Baškovce
702,806196,Brekov
702,806218,Brestov
702,809322,Černina
702,810134,Dedačov
702,856568,Gruzovce
702,815730,Hankovce
702,823317,Hažín nad Cirochou
702,818852,Hrabovec nad Laborcom
702,819859,Hrubov
702,820105,Hudcovce
702,820121,Humenné
702,820369,Humenský Rokytov
702,820687,Chlmec
702,821551,Jabloň
702,822086,Jankovce
702,822329,Jasenov
702,823325,Kamenica nad Cirochou
702,823503,Kamienka pri Humennom
702,823627,Karná
702,825123,Kochanovce nad Laborcom
702,826871,Košarovce
702,827681,Koškovce
702,830445,Lackovce
702,832065,Lieskovec pri Humennom
702,833495,Ľubiša
702,834122,Lukačovce
702,871494,Maškovce
702,838063,Modra nad Cirochou
702,839027,Myslina
702,839485,Nechválova Polianka
702,840807,Nižná Jablonka
702,840904,Nižná Sitnica
702,840980,Nižné Ladičkovce
702,843199,Ohradzany
702,844985,Pakostov
702,845311,Papín
702,848662,Porúbka pri Chlmci
702,850250,Prituľany
702,850438,Ptičie
702,852724,Rohožník pri Oľke
702,852856,Rovné nad Udavou
702,853615,Ruská Kajňa
702,853631,Ruská Poruba
702,856576,Slovenská Volová
702,856614,Slovenské Krivé
702,843202,Sopkovce
702,863971,Topoľovka
702,865818,Turcovce
702,866253,Udavské
702,992160,Valaškovce-juh
702,879703,Valaškovce-sever
702,992151,Valaškovce-stred
702,869201,Veľopolie
702,869732,Víťazovce
702,871206,Vyšná Jablonka
702,871303,Vyšná Sitnica
702,871371,Vyšné Ladičkovce
702,871508,Vyšný Hrušov
702,872466,Závada pri Oľke
702,872491,Závadka
702,872954,Zbudské Dlhé
702,872962,Zbudský Rokytov
702,873675,Zubné
703,,okres KEŽMAROK
703,800074,Abrahámovce pri Vlkovej
703,822558,Blažov
703,807478,Bušovce
703,809446,Červený Kláštor
703,815373,Hágy
703,815951,Havka
703,816884,Holumnica
703,818941,Hradisko
703,820385,Huncovce
703,991856,Ihla
703,822833,Jezersko
703,822922,Jurské
703,823813,Kežmarok
703,829196,Krížová Ves
703,831239,Lechnica
703,831344,Lendak
703,991830,Levočská Dolina
703,833312,Ľubica
703,991937,Ľubické Kúpele
703,834416,Lysá nad Dunajcom
703,834734,Majere
703,821136,Majerka
703,835005,Malá Franková
703,835901,Malý Slavkov
703,836401,Matiašovce
703,837750,Mlynčeky
703,844641,Osturňa
703,847305,Podhorany
703,851612,Rakúsy
703,851973,Reľov
703,856550,Slovenská Ves
703,857378,Spišská Belá
703,857581,Spišská Stará Ves
703,857629,Spišské Hanušovce
703,858081,Stará Lesná
703,821144,Stotince
703,858803,Stráne pod Tatrami
